rsi_9,rsi_14,sma_5,sma_spread,cruce_sma,breakout,rsi_reversion,racha_actual,payout,puntaje_estrategia,volatilidad,es_rebote,hora_bucket,result_bin
79.0,70.52,3946.326,0.0008229605224948297,0.26570421059426164,0.15620294594929457,0.4,4.0,0.95,0.2833293695061364,0.03238250626621686,0.16,0.7659574468085106,1
79.06,70.6,3946.338,0.0008252423737356331,0.2661794689847218,0.15658156887908894,0.4017142857142858,2.0,0.95,0.27969092726288514,0.032470820602899964,0.13042857142857145,0.7659574468085106,1
66.28,55.67,9565.128,2.6660050792398152e-05,0.013097243282104869,0.03795381174977469,0.10975,-3.0,0.9537500000000001,0.08754410002469225,0.0010658336271165414,0.0724375,0.7659574468085106,1
73.16,77.13,3957.444,0.0029452667979869194,0.4969218269397313,0.24782504878986494,0.3465714285714284,5.0,0.95,0.3484753082056356,0.11113567633885801,0.1616428571428571,0.7659574468085106,1
53.16,60.95,1444.374,0.0023856013085934045,0.4604695230794915,0.1743234266478036,0.07054999999999999,5.0,0.95,0.21259000530997665,0.09101260550561796,0.0926375,0.7659574468085106,0
53.16,60.95,1444.374,0.0023856013085934045,0.4604695230794915,0.1743234266478036,0.07054999999999999,5.0,0.95,0.21259000530997665,0.09101260550561796,0.0926375,0.7659574468085106,0
53.16,60.95,1444.374,0.0023856013085934045,0.4604695230794915,0.1743234266478036,0.07054999999999999,3.0,0.95,0.20839000530997664,0.09101260550561796,0.0626375,0.7659574468085106,0
60.48,63.18,1440.8780000000002,0.00039127484838089277,0.405163135879957,0.08066680845698464,0.11829999999999997,-2.0,0.9524999999999999,0.17706204668504613,0.015529153598613177,0.05957499999999999,0.7659574468085106,1
59.17,62.2,1440.736,0.00046517065102727597,0.4275306323082344,0.08383266731685793,0.10685000000000001,1.0,0.95,0.17788271949463452,0.018434787734821323,0.0417125,0.7659574468085106,1
46.02,40.77,273934.824,0.000545196765072573,0.19993067698301398,0.07792716130417106,0.06604999999999996,-1.0,0.9550000000000001,0.12259103448929223,0.021571798185821223,0.031512499999999985,0.7659574468085106,0
45.92,40.7,273934.12399999995,0.0005432795531790336,0.19941454621338017,0.078033250793667,0.06689999999999997,6.0,0.95,0.13302335018260816,0.021496761141200027,0.10672499999999999,0.7659574468085106,1
45.83,40.64,273933.552,0.0005417129153556147,0.19899207349920028,0.07813719628829244,0.06765,-1.0,0.9550000000000001,0.12278681359885388,0.021435440812511808,0.031912499999999996,0.7659574468085106,0
46.82,41.3,273940.39,0.0005604412512744636,0.20400044805735498,0.07710990536998512,0.059400000000000015,-1.0,0.9550000000000001,0.1218268127632275,0.022168241726717164,0.02985,0.7659574468085106,0
60.53,58.44,1436.018,0.003813349150026237,0.538269137179806,0.21939417556782387,0.09484999999999998,1.0,0.95,0.2398280208192469,0.14147026736064905,0.0387125,0.7659574468085106,0
58.71,57.03,1435.788,0.003933171807007817,0.5429386295958925,0.2168282885419672,0.0787,2.0,0.95,0.23910225699471482,0.1455752745913519,0.049675,0.7659574468085106,0
56.8,55.54,1435.5300000000002,0.004067592946545341,0.7979378142760857,0.21421571124540306,0.06169999999999998,-2.0,0.9524999999999999,0.2862699511934402,0.15015705559796255,0.04542499999999999,0.7659574468085106,0
56.24,55.1,1435.452,0.004108234264054337,0.7994021028667393,0.21345281616524026,0.056700000000000014,-2.0,0.9524999999999999,0.28541514826240355,0.15153748272385903,0.044175000000000006,0.7659574468085106,0
56.8,55.54,1435.5300000000002,0.004067592946545341,0.7979378142760857,0.21421571124540306,0.06169999999999998,-2.0,0.9524999999999999,0.2862699511934402,0.15015705559796255,0.04542499999999999,0.7659574468085106,0
56.58,59.63,1433.736,0.005209388555997327,0.8323245120459755,0.24052123845143716,0.08105,7.0,0.95,0.31707280342141386,0.18809792407147274,0.1252625,0.7659574468085106,1
27.88,35.35,273552.5,0.0007814289019345164,0.25688798627646614,0.13323928554432676,0.20342857142857146,-1.0,0.9550000000000001,0.2275299512804464,0.030773701406864862,0.06585714285714286,0.7659574468085106,0
27.78,35.26,273551.428,0.0007843664798295047,0.25752210298412137,0.13374753772316397,0.20628571428571427,-1.0,0.9550000000000001,0.22840215129272137,0.030887581826081312,0.06657142857142856,0.7659574468085106,0
28.37,35.73,273557.498,0.0007677330689713197,0.2539098669093721,0.1308892558638431,0.1894285714285714,-3.0,0.9524999999999999,0.22743449735606808,0.03024258147798886,0.09235714285714285,0.7659574468085106,0
28.35,35.71,273557.246,0.0007684236121785916,0.2540608844132286,0.13100188004069752,0.18999999999999995,-3.0,0.9524999999999999,0.2276167306826202,0.0302693674839718,0.09249999999999999,0.7659574468085106,0
19.34,35.47,273280.368,0.0016151596701101895,0.3888628131025443,0.19363294151739968,0.44742857142857145,8.0,0.95,0.3379559210522847,0.0625636219037633,0.23185714285714287,0.7659574468085106,0
60.43,61.82,840890.7639999999,0.0009831461138102562,0.5469457098222275,0.12395538945367965,0.11124999999999999,-3.0,0.9537500000000001,0.21699981922934353,0.038562621031747235,0.0728125,0.7872340425531915,1
18.38,26.95,9562.045999999998,0.0002588733655484703,0.11038601639226554,0.11625724983549349,0.47485714285714287,-2.0,0.9524999999999999,0.25161330694879486,0.010301506859112908,0.14871428571428572,0.7872340425531915,0
38.19,43.51,1427.89,0.006663795880119658,0.6121964565846653,0.26416469581353175,0.09150000000000003,-4.0,0.951875,0.27712513873881595,0.23398370391450107,0.082875,0.7872340425531915,1
55.08,67.05,841179.4839999999,0.0010883918266605648,0.5653671950233948,0.13019893191873103,0.11064999999999996,-4.0,0.953125,0.22445585143371133,0.04260159985493872,0.08766249999999999,0.7872340425531915,1
56.58,67.63,841196.292,0.0011033887197393502,0.5678709093766703,0.1343525562313913,0.12104999999999995,-1.0,0.9550000000000001,0.22199789596594413,0.04317574768667953,0.04526249999999998,0.7872340425531915,1
35.15,35.07,1426.4240000000002,0.0063304961332597215,0.6063309424007494,0.27793970184069994,0.1489,-2.0,0.9524999999999999,0.28659739854884975,0.22370280225154215,0.06722500000000001,0.7872340425531915,1
31.22,32.82,1425.962,0.006572402319638601,0.8606362820565705,0.29076693879849996,0.1798,1.0,0.95,0.34559520349319484,0.2311782207095694,0.059949999999999996,0.7872340425531915,0
